Import/Export,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18 (P)
Imports - Crude Oil Import,171729,184795,189238,189435,202850,213932,220434
Product Import - LPG,5790,6301,6567,8313,8959,11097,11382
Product Import - Petrol,654,147,235,372,1012,476,174
Product Import - Naphtha,2091,1762,1020,1034,2931,2777,2150
Product Import - Aviation Turbine Fuel (ATF),0,0,0,140,286,338,291
Product Import - Kerosene,564,0,0,30,41,0,0
Product Import - Diesel,1059,528,77,124,177,1008,1353
Product Import - Lubes,1434,1977,2090,2148,2264,2131,2434
Product Import - Fuel Oil,1203,1038,1331,902,1170,925,1273
Product Import - Bitumen,78,102,246,517,879,951,869
Product Import - Petcoke,1814,3339,3571,6165,10041,14416,13393
Product Import - Others,1163,1162,1559,1557,1694,2169,2573
Total Product Import,15849,16354,16697,21301,29456,36287,35892
Total Import,187579,201149,205935,210736,232306,250219,256325
Product Export - LPG,174,200,227,254,195,317,359
Product Export - Petrol,14524,16657,15247,16048,16817,15417,14035
Product Export - Naphtha,10139,8647,8322,7008,7116,8727,8951
Product Export - Aviation Turbine Fuel (ATF),4561,4664,5745,5520,5686,7271,7183
Product Export - Kerosene,34,23,15,15,10,15,17
Product Export - Diesel,20491,22464,26469,25559,24037,27302,29676
Product Export - Lubes,27,59,20,11,17,13,13
Product Export - Fuel Oil,7895,5922,6159,4762,2806,2248,2492
Product Export - Bitumen,5,87,95,94,101,38,64
Product Export - Petcoke/CBFS,726,1317,1698,613,840,673,561
Product Export - Others,2262,3367,3867,4047,2914,3495,3406
Total Export,60837,63408,67864,63932,60539,65513,66757
Net Import,126741,137742,138071,146804,171768,184706,189568
Net Product Export,44988,47054,51167,42631,31083,29226,30866
